 X,    Y,    Z,    H,	slope,Q, AREA,	L, curve,power, downL
-480,    848,   117.351,   117.351,   0.0552381,   965.969,   64,   8,   -0.00159561,   53.3583,   0
-480,    856,   117.647,   117.647,   0.0553268,   1013.28,   64,   8,   -0.00167323,   56.0614,   0
-480,    864,   117.959,   117.959,   0.0558116,   1070.34,   64,   8,   -0.00166538,   59.7374,   0
-480,    872,   118.287,   118.287,   0.0568694,   1124.5,   64,   8,   -0.00158689,   63.9493,   0
-480,    880,   118.637,   118.637,   0.0561065,   1167.53,   64,   8,   -0.00146073,   65.5063,   0
-480,    888,   118.908,   118.908,   0.0542804,   1198.09,   64,   8,   -0.00165553,   65.0328,   0
-480,    896,   119.213,   119.213,   0.0531262,   1219.16,   64,   8,   -0.00182303,   64.7695,   0
-480,    904,   119.504,   119.504,   0.0521779,   1234.86,   64,   8,   -0.00209077,   64.4326,   0
-480,    912,   119.821,   119.821,   0.0521882,   1248.58,   64,   8,   -0.00225917,   65.1611,   0
-480,    920,   120.157,   120.157,   0.0524022,   1262.41,   64,   8,   -0.00229016,   66.1532,   0
-480,    928,   120.497,   120.497,   0.0522877,   1277.54,   64,   8,   -0.00221412,   66.7998,   0
-480,    936,   120.826,   120.826,   0.0515863,   1294.29,   64,   8,   -0.00211203,   66.7675,   0
-480,    944,   121.135,   121.135,   0.050121,   1312.16,   64,   8,   -0.00206109,   65.7668,   0
-480,    952,   121.418,   121.418,   0.0461898,   1330.31,   64,   8,   -0.00209599,   61.4466,   0
-480,    960,   121.61,   121.61,   0.0400458,   1347.97,   64,   8,   -0.00241515,   53.9806,   0
-480,    968,   121.769,   121.769,   0.031624,   1364.94,   64,   8,   -0.00278947,   43.1648,   0
-480,    976,   121.802,   121.802,   0.0370814,   1381.74,   64,   8,   -0.00356512,   51.2369,   0
-480,    984,   122.362,   122.362,   0.0295671,   1399.08,   64,   8,   -0.00253164,   41.3669,   0
-480,    992,   121.842,   121.842,   0.0459899,   1417.54,   64,   8,   -0.00512613,   65.1924,   0
-480,    1000,   122.955,   122.955,   0.0631785,   1437.53,   64,   8,   -0.00251071,   90.8212,   0
-480,    1008,   123.419,   123.419,   0.0526682,   1459.51,   64,   8,   -0.00209813,   76.8696,   0
-480,    1016,   123.737,   123.737,   0.0487825,   1484.07,   64,   8,   -0.00200846,   72.3967,   0
-480,    1024,   124.022,   124.022,   0.0456226,   1511.98,   64,   8,   -0.00193503,   68.9802,   0
