 X,    Y,    Z,    H,	slope,Q, AREA,	L, curve,power, downL
-480,    0,   87.5115,   87.5115,   0.131422,   17309.9,   256,   8,   -9.80183e-05,   2274.89,   0
-480,    8,   88.083,   88.083,   0.131422,   4271.48,   64,   8,   -9.80183e-05,   561.364,   0
-480,    16,   88.0443,   88.0443,   0.141412,   4202.42,   64,   8,   -0.000109748,   594.274,   0
-480,    24,   87.9156,   87.9156,   0.142468,   4135.86,   64,   8,   -0.000125351,   589.23,   0
-480,    32,   87.6948,   87.6948,   0.141743,   4071.94,   64,   8,   -0.00014291,   577.169,   0
-480,    40,   87.3926,   87.3926,   0.138957,   4010.84,   64,   8,   -0.000163298,   557.332,   0
-480,    48,   87.0307,   87.0307,   0.134279,   3952.8,   64,   8,   -0.000184934,   530.777,   0
-480,    56,   86.6357,   86.6357,   0.128206,   3898.2,   64,   8,   -0.000206249,   499.771,   0
-480,    64,   86.2324,   86.2324,   0.121345,   3847.52,   64,   8,   -0.000225411,   466.877,   0
-480,    72,   85.8384,   85.8384,   0.114184,   3801.24,   64,   8,   -0.000240976,   434.04,   0
-480,    80,   85.4642,   85.4642,   0.106988,   3759.59,   64,   8,   -0.000252746,   402.229,   0
-480,    88,   85.1167,   85.1167,   0.0998709,   3722.14,   64,   8,   -0.000261122,   371.734,   0
-480,    96,   84.8018,   84.8018,   0.092923,   3687.62,   64,   8,   -0.000266465,   342.665,   0
-480,    104,   84.5255,   84.5255,   0.0862917,   3654.12,   64,   8,   -0.000269359,   315.32,   0
-480,    112,   84.2934,   84.2934,   0.0801749,   3620.03,   64,   8,   -0.000270494,   290.235,   0
-480,    120,   84.1086,   84.1086,   0.0747466,   3584.5,   64,   8,   -0.000270526,   267.929,   0
-480,    128,   83.9718,   83.9718,   0.0700718,   3547.43,   64,   8,   -0.000269996,   248.575,   0
-480,    136,   83.8812,   83.8812,   0.0660774,   3509.02,   64,   8,   -0.000269375,   231.867,   0
-480,    144,   83.834,   83.834,   0.0626406,   3469.41,   64,   8,   -0.000269127,   217.326,   0
-480,    152,   83.8302,   83.8302,   0.0598038,   3428.45,   64,   8,   -0.000269684,   205.034,   0
-480,    160,   83.8755,   83.8755,   0.0579865,   3385.72,   64,   8,   -0.000271336,   196.326,   0
-480,    168,   83.9808,   83.9808,   0.0579366,   3340.74,   64,   8,   -0.000274069,   193.551,   0
-480,    176,   84.1588,   84.1588,   0.0602891,   3293.4,   64,   8,   -0.000277492,   198.556,   0
-480,    184,   84.4177,   84.4177,   0.0650397,   3244.54,   64,   8,   -0.000280883,   211.024,   0
-480,    192,   84.7577,   84.7577,   0.0714497,   3196.25,   64,   8,   -0.000283411,   228.371,   0
-480,    200,   85.1685,   85.1685,   0.078365,   3151.29,   64,   8,   -0.000284441,   246.951,   0
