 X,    Y,    Z,    H,	slope,Q, AREA,	L, curve,power, downL
-480,    0,   93.0102,   93.0102,   0.0563112,   17309.9,   256,   8,   -0.000965801,   974.741,   0
-480,    8,   93.209,   93.209,   0.0563112,   4271.48,   64,   8,   -0.000965801,   240.532,   0
-480,    16,   93.3852,   93.3852,   0.0702051,   4202.42,   64,   8,   -0.000936872,   295.031,   0
-480,    24,   93.5581,   93.5581,   0.0821997,   4135.86,   64,   8,   -0.00089202,   339.966,   0
-480,    32,   93.6996,   93.6996,   0.0921972,   4071.94,   64,   8,   -0.000839233,   375.422,   0
-480,    40,   93.7921,   93.7921,   0.099968,   4010.84,   64,   8,   -0.000781866,   400.955,   0
-480,    48,   93.8259,   93.8259,   0.10552,   3952.8,   64,   8,   -0.00072317,   417.101,   0
-480,    56,   93.7956,   93.7956,   0.108924,   3898.2,   64,   8,   -0.000666485,   424.61,   0
-480,    64,   93.6982,   93.6982,   0.110209,   3847.52,   64,   8,   -0.000614827,   424.032,   0
-480,    72,   93.5326,   93.5326,   0.109331,   3801.24,   64,   8,   -0.000570444,   415.592,   0
-480,    80,   93.3009,   93.3009,   0.10622,   3759.59,   64,   8,   -0.000534618,   399.344,   0
-480,    88,   93.0127,   93.0127,   0.100898,   3722.14,   64,   8,   -0.000507736,   375.556,   0
-480,    96,   92.6873,   92.6873,   0.0936081,   3687.62,   64,   8,   -0.00048945,   345.191,   0
-480,    104,   92.3521,   92.3521,   0.0848873,   3654.12,   64,   8,   -0.00047889,   310.189,   0
-480,    112,   92.0347,   92.0347,   0.0754636,   3620.03,   64,   8,   -0.00047494,   273.18,   0
-480,    120,   91.7554,   91.7554,   0.0660042,   3584.5,   64,   8,   -0.000476433,   236.592,   0
-480,    128,   91.5239,   91.5239,   0.0569004,   3547.43,   64,   8,   -0.000482242,   201.85,   0
-480,    136,   91.345,   91.345,   0.0483527,   3509.02,   64,   8,   -0.000491242,   169.67,   0
-480,    144,   91.2255,   91.2255,   0.0408536,   3469.41,   64,   8,   -0.000502251,   141.738,   0
-480,    152,   91.1794,   91.1794,   0.03582,   3428.45,   64,   8,   -0.000514072,   122.807,   0
-480,    160,   91.2245,   91.2245,   0.0353376,   3385.72,   64,   8,   -0.000525584,   119.643,   0
-480,    168,   91.3742,   91.3742,   0.0398708,   3340.74,   64,   8,   -0.000535781,   133.198,   0
-480,    176,   91.6281,   91.6281,   0.0472654,   3293.4,   64,   8,   -0.000543874,   155.664,   0
-480,    184,   91.968,   91.968,   0.0549355,   3244.54,   64,   8,   -0.000549518,   178.24,   0
-480,    192,   92.3621,   92.3621,   0.0612059,   3196.25,   64,   8,   -0.000553009,   195.629,   0
-480,    200,   92.7745,   92.7745,   0.0653283,   3151.29,   64,   8,   -0.000555284,   205.869,   0
-480,    208,   93.1755,   93.1755,   0.0672186,   3111.83,   64,   8,   -0.00055754,   209.173,   0
-480,    216,   93.5471,   93.5471,   0.0672077,   3078.56,   64,   8,   -0.00056065,   206.903,   0
-480,    224,   93.8846,   93.8846,   0.0658644,   3050.93,   64,   8,   -0.000564764,   200.948,   0
-480,    232,   94.1934,   94.1934,   0.0638744,   3027.94,   64,   8,   -0.00056929,   193.408,   0
-480,    240,   94.4857,   94.4857,   0.0619019,   3008.68,   64,   8,   -0.000573224,   186.243,   0
-480,    248,   94.7749,   94.7749,   0.0603891,   2992.59,   64,   8,   -0.000575539,   180.72,   0
-480,    256,   95.0696,   95.0696,   0.0593918,   2979.4,   64,   8,   -0.000575447,   176.952,   0
-480,    264,   95.3707,   95.3707,   0.0586321,   2968.93,   64,   8,   -0.000572404,   174.074,   0
-480,    272,   95.6727,   95.6727,   0.0577737,   2960.9,   64,   8,   -0.000565954,   171.062,   0
-480,    280,   95.9694,   95.9694,   0.0566972,   2954.78,   64,   8,   -0.000555483,   167.528,   0
-480,    288,   96.2596,   96.2596,   0.055614,   2949.9,   64,   8,   -0.000540035,   164.056,   0
-480,    296,   96.5488,   96.5488,   0.054994,   2945.89,   64,   8,   -0.000518285,   162.006,   0
-480,    304,   96.8485,   96.8485,   0.0552924,   2942.84,   64,   8,   -0.000488773,   162.717,   0
-480,    312,   97.1693,   97.1693,   0.056539,   2941.28,   64,   8,   -0.000450334,   166.297,   0
-480,    320,   97.5109,   97.5109,   0.0581012,   2941.79,   64,   8,   -0.000402365,   170.922,   0
-480,    328,   97.8553,   97.8553,   0.0589155,   2944.54,   64,   8,   -0.0003441,   173.479,   0
-480,    336,   98.1704,   98.1704,   0.0579177,   2949.37,   64,   8,   -0.000271031,   170.821,   0
-480,    344,   98.4227,   98.4227,   0.052441,   2955.6,   64,   8,   -0.000183349,   154.995,   0
-480,    352,   98.4931,   98.4931,   0.0430088,   2961.9,   64,   8,   -0.000532811,   127.388,   0
-480,    360,   98.5143,   98.5143,   0.0326625,   2966.56,   64,   8,   -0.000872487,   96.8951,   0
-480,    368,   98.5164,   98.5164,   0.0232826,   2968.31,   64,   8,   -0.00116625,   69.1099,   0
