 X,    Y,    Z,    H,	slope,Q, AREA,	L, curve,power, downL
-480,    0,   99.656,   99.656,   0.0357415,   17309.9,   256,   8,   -0.0016901,   618.681,   0
-480,    8,   99.3866,   99.3866,   0.0357415,   4271.48,   64,   8,   -0.0016901,   152.669,   0
-480,    16,   99.6664,   99.6664,   0.0403042,   4202.42,   64,   8,   0.0087369,   169.375,   0
-480,    24,   98.9349,   98.9349,   0.0525625,   4135.86,   64,   8,   -0.0105345,   217.391,   0
-480,    32,   99.1129,   99.1129,   0.0741497,   4071.94,   64,   8,   -0.000997299,   301.933,   0
-480,    40,   98.5318,   98.5318,   0.0850935,   4010.84,   64,   8,   0.0015481,   341.296,   0
-480,    48,   97.5364,   97.5364,   0.0572514,   3952.8,   64,   8,   -0.0135672,   226.304,   0
-480,    56,   98.3132,   98.3132,   0.0703493,   3898.2,   64,   8,   0.000327468,   274.236,   0
-480,    64,   98.2103,   98.2103,   0.072456,   3847.52,   64,   8,   0.00650261,   278.776,   0
-480,    72,   97.6704,   97.6704,   0.0470662,   3801.24,   64,   8,   -0.0116303,   178.91,   0
-480,    80,   97.0084,   97.0084,   0.0324039,   3759.59,   64,   8,   -0.0124962,   121.825,   0
-480,    88,   97.4917,   97.4917,   0.0205033,   3722.14,   64,   8,   0.0118606,   76.3163,   0
-480,    96,   97.0886,   97.0886,   0.0307918,   3687.62,   64,   8,   -0.00594922,   113.548,   0
-480,    104,   97.821,   97.821,   0.0331563,   3654.12,   64,   8,   0.00112229,   121.157,   0
-480,    112,   97.8327,   97.8327,   0.0191699,   3620.03,   64,   8,   0.00445899,   69.3957,   0
-480,    120,   97.4356,   97.4356,   0.0422278,   3584.5,   64,   8,   -0.00137289,   151.366,   0
-480,    128,   98.3898,   98.3898,   0.0589124,   3547.43,   64,   8,   0.00138112,   208.988,   0
-480,    136,   98.7784,   98.7784,   0.0268149,   3509.02,   64,   8,   -0.00705699,   94.0941,   0
-480,    144,   98.2664,   98.2664,   0.0288022,   3469.41,   64,   8,   -0.0154844,   99.9267,   0
-480,    152,   98.345,   98.345,   0.0275519,   3428.45,   64,   8,   -0.000268773,   94.4601,   0
-480,    160,   98.3723,   98.3723,   0.0312757,   3385.72,   64,   8,   -0.00127782,   105.891,   0
-480,    168,   98.3668,   98.3668,   0.0323996,   3340.74,   64,   8,   -0.00674167,   108.239,   0
-480,    176,   98.1399,   98.1399,   0.03312,   3293.4,   64,   8,   0.00158331,   109.077,   0
-480,    184,   97.4903,   97.4903,   0.0228537,   3244.54,   64,   8,   -0.00925638,   74.1497,   0
-480,    192,   97.9144,   97.9144,   0.0208132,   3196.25,   64,   8,   0.000579498,   66.5242,   0
-480,    200,   97.9404,   97.9404,   0.0230568,   3151.29,   64,   8,   -0.00164478,   72.6587,   0
-480,    208,   97.7451,   97.7451,   0.0220176,   3111.83,   64,   8,   -0.0031075,   68.515,   0
-480,    216,   97.9827,   97.9827,   0.0303522,   3078.56,   64,   8,   -0.000874516,   93.441,   0
-480,    224,   97.99,   97.99,   0.0413472,   3050.93,   64,   8,   -0.00256331,   126.148,   0
-480,    232,   98.3758,   98.3758,   0.0449614,   3027.94,   64,   8,   0.00498749,   136.14,   0
-480,    240,   98.0578,   98.0578,   0.0522143,   3008.68,   64,   8,   -0.0297947,   157.096,   0
-480,    248,   99.0284,   99.0284,   0.0704152,   2992.59,   64,   8,   -0.00620672,   210.724,   0
