 X,    Y,    Z,    H,	slope,Q, AREA,	L, curve,power, downL
-480,    0,   81.0045,   81.0045,   0.122856,   17309.9,   256,   8,   -0.0106665,   2126.62,   0
-480,    8,   81.5071,   81.5071,   0.122856,   4271.48,   64,   8,   -0.0106665,   524.776,   0
-480,    16,   81.8581,   81.8581,   0.134168,   4202.42,   64,   8,   -0.00671216,   563.83,   0
-480,    24,   82.2774,   82.2774,   0.150072,   4135.86,   64,   8,   -0.00587318,   620.676,   0
-480,    32,   82.6985,   82.6985,   0.165381,   4071.94,   64,   8,   -0.00503751,   673.42,   0
-480,    40,   83.0664,   83.0664,   0.177693,   4010.84,   64,   8,   -0.00432107,   712.697,   0
-480,    48,   83.3226,   83.3226,   0.185653,   3952.8,   64,   8,   -0.00388917,   733.85,   0
-480,    56,   83.4715,   83.4715,   0.18907,   3898.2,   64,   8,   -0.00370008,   737.032,   0
-480,    64,   83.5088,   83.5088,   0.188605,   3847.52,   64,   8,   -0.00377693,   725.663,   0
-480,    72,   83.4787,   83.4787,   0.185994,   3801.24,   64,   8,   -0.00397518,   707.006,   0
-480,    80,   83.4314,   83.4314,   0.18301,   3759.59,   64,   8,   -0.00412416,   688.042,   0
-480,    88,   83.3666,   83.3666,   0.180036,   3722.14,   64,   8,   -0.00423247,   670.119,   0
-480,    96,   83.2819,   83.2819,   0.176721,   3687.62,   64,   8,   -0.00431578,   651.681,   0
-480,    104,   83.1805,   83.1805,   0.172928,   3654.12,   64,   8,   -0.00439065,   631.899,   0
-480,    112,   83.0726,   83.0726,   0.168864,   3620.03,   64,   8,   -0.00446953,   611.293,   0
-480,    120,   82.9739,   82.9739,   0.165031,   3584.5,   64,   8,   -0.0045465,   591.553,   0
-480,    128,   82.8989,   82.8989,   0.161959,   3547.43,   64,   8,   -0.00460277,   574.536,   0
-480,    136,   82.8546,   82.8546,   0.159911,   3509.02,   64,   8,   -0.0046191,   561.129,   0
-480,    144,   82.8403,   82.8403,   0.158816,   3469.41,   64,   8,   -0.0045877,   550.999,   0
-480,    152,   82.8523,   82.8523,   0.158483,   3428.45,   64,   8,   -0.00451603,   543.351,   0
-480,    160,   82.8898,   82.8898,   0.158884,   3385.72,   64,   8,   -0.004417,   537.935,   0
-480,    168,   82.9571,   82.9571,   0.160262,   3340.74,   64,   8,   -0.00428907,   535.394,   0
-480,    176,   83.0592,   83.0592,   0.162958,   3293.4,   64,   8,   -0.00410102,   536.686,   0
-480,    184,   83.1959,   83.1959,   0.167083,   3244.54,   64,   8,   -0.00380177,   542.107,   0
