 X,    Y,    Z,    H,	slope,Q, AREA,	L, curve,power, downL
-480,    0,   99.4414,   99.4414,   0.0562197,   17309.9,   256,   8,   -0.0007344,   973.157,   0
-480,    8,   99.3866,   99.3866,   0.0562197,   4271.48,   64,   8,   -0.0007344,   240.141,   0
-480,    16,   99.3873,   99.3873,   0.0738455,   4202.42,   64,   8,   -9.72287e-05,   310.33,   0
-480,    24,   98.9349,   98.9349,   0.0822438,   4135.86,   64,   8,   -0.00131318,   340.149,   0
-480,    32,   98.9565,   98.9565,   0.0907201,   4071.94,   64,   8,   -3.10499e-05,   369.407,   0
-480,    40,   98.5318,   98.5318,   0.0953522,   4010.84,   64,   8,   -0.000278365,   382.442,   0
-480,    48,   97.5364,   97.5364,   0.0737439,   3952.8,   64,   8,   -0.00311773,   291.495,   0
-480,    56,   97.8761,   97.8761,   0.0720237,   3898.2,   64,   8,   -0.00016064,   280.763,   0
-480,    64,   97.5605,   97.5605,   0.0807461,   3847.52,   64,   8,   -0.00041654,   310.672,   0
-480,    72,   97.2336,   97.2336,   0.073989,   3801.24,   64,   8,   -0.0004953,   281.25,   0
-480,    80,   96.919,   96.919,   0.0656853,   3759.59,   64,   8,   -0.00055408,   246.95,   0
-480,    88,   96.6287,   96.6287,   0.0566391,   3722.14,   64,   8,   -0.000606763,   210.819,   0
-480,    96,   96.3736,   96.3736,   0.0472833,   3687.62,   64,   8,   -0.000655512,   174.363,   0
-480,    104,   96.1652,   96.1652,   0.0381273,   3654.12,   64,   8,   -0.000699702,   139.322,   0
-480,    112,   96.0134,   96.0134,   0.0298533,   3620.03,   64,   8,   -0.000737705,   108.07,   0
-480,    120,   95.9226,   95.9226,   0.0232581,   3584.5,   64,   8,   -0.000767645,   83.3685,   0
-480,    128,   95.8909,   95.8909,   0.019078,   3547.43,   64,   8,   -0.000787618,   67.678,   0
-480,    136,   95.9118,   95.9118,   0.0176237,   3509.02,   64,   8,   -0.000795923,   61.8418,   0
-480,    144,   95.9787,   95.9787,   0.0186157,   3469.41,   64,   8,   -0.000791323,   64.5854,   0
-480,    152,   96.0915,   96.0915,   0.0215432,   3428.45,   64,   8,   -0.000772997,   73.8597,   0
-480,    160,   96.2561,   96.2561,   0.0257299,   3385.72,   64,   8,   -0.000740477,   87.1142,   0
-480,    168,   96.4756,   96.4756,   0.0301832,   3340.74,   64,   8,   -0.000693862,   100.834,   0
-480,    176,   96.7393,   96.7393,   0.0338625,   3293.4,   64,   8,   -0.000634099,   111.522,   0
-480,    184,   97.0231,   97.0231,   0.0361268,   3244.54,   64,   8,   -0.000562542,   117.215,   0
-480,    192,   97.3009,   97.3009,   0.0369046,   3196.25,   64,   8,   -0.000478791,   117.956,   0
-480,    200,   97.5558,   97.5558,   0.0356115,   3151.29,   64,   8,   -0.000367509,   112.222,   0
-480,    208,   97.7451,   97.7451,   0.0346737,   3111.83,   64,   8,   -0.000403383,   107.899,   0
-480,    216,   97.9777,   97.9777,   0.0302002,   3078.56,   64,   8,   -0.000191701,   92.9731,   0
-480,    224,   97.99,   97.99,   0.0287467,   3050.93,   64,   8,   -0.000979896,   87.7042,   0
-480,    232,   98.2957,   98.2957,   0.0218066,   3027.94,   64,   8,   -0.000256927,   66.0292,   0
-480,    240,   98.0578,   98.0578,   0.0254619,   3008.68,   64,   8,   -0.00214435,   76.6068,   0
-480,    248,   98.611,   98.611,   0.0323477,   2992.59,   64,   8,   -0.000419545,   96.8034,   0
-480,    256,   98.7244,   98.7244,   0.0254739,   2979.4,   64,   8,   -0.000707467,   75.8967,   0
-480,    264,   98.769,   98.769,   0.0192502,   2968.93,   64,   8,   -0.000999344,   57.1523,   0
-480,    272,   98.7619,   98.7619,   0.0124171,   2960.9,   64,   8,   -0.00135257,   36.7657,   0
-480,    280,   98.7187,   98.7187,   0.00536764,   2954.78,   64,   8,   -0.00173567,   15.8602,   0
-480,    288,   98.65,   98.65,   0.00264658,   2949.9,   64,   8,   -0.0021238,   7.80715,   0
-480,    296,   98.5631,   98.5631,   0.00982808,   2945.89,   64,   8,   -0.00249085,   28.9524,   0
-480,    304,   98.4565,   98.4565,   0.0220209,   2942.84,   64,   8,   -0.00279015,   64.8041,   0
-480,    312,   98.1331,   98.1331,   0.031339,   2941.28,   64,   8,   -0.00410891,   92.1768,   0
-480,    320,   98.2471,   98.2471,   0.0349459,   2941.79,   64,   8,   -0.00351068,   102.804,   0
-480,    328,   98.2134,   98.2134,   0.0366297,   2944.54,   64,   8,   -0.00367509,   107.858,   0
-480,    336,   98.2196,   98.2196,   0.0381839,   2949.37,   64,   8,   -0.00377528,   112.618,   0
-480,    344,   98.4254,   98.4254,   0.0352726,   2955.6,   64,   8,   -0.00305494,   104.252,   0
-480,    352,   98.4931,   98.4931,   0.0329434,   2961.9,   64,   8,   -0.00293634,   97.5753,   0
-480,    360,   98.5143,   98.5143,   0.0354225,   2966.56,   64,   8,   -0.00289967,   105.083,   0
-480,    368,   98.5164,   98.5164,   0.0398627,   2968.31,   64,   8,   -0.00291124,   118.325,   0
-480,    376,   98.5291,   98.5291,   0.0450122,   2967.74,   64,   8,   -0.00294038,   133.585,   0
-480,    384,   98.5759,   98.5759,   0.0499247,   2967.96,   64,   8,   -0.00299601,   148.175,   0
-480,    392,   98.6882,   98.6882,   0.0540531,   2973.29,   64,   8,   -0.00301999,   160.715,   0
-480,    400,   98.8367,   98.8367,   0.0578373,   2987.64,   64,   8,   -0.00317526,   172.797,   0
-480,    408,   99.0092,   99.0092,   0.0620614,   3011.98,   64,   8,   -0.00348871,   186.928,   0
-480,    416,   99.2269,   99.2269,   0.0663517,   3044.34,   64,   8,   -0.00382179,   201.997,   0
-480,    424,   99.4959,   99.4959,   0.0700677,   3081.19,   64,   8,   -0.00410641,   215.892,   0
-480,    432,   99.8103,   99.8103,   0.0732277,   3118.28,   64,   8,   -0.00431269,   228.345,   0
