 X,    Y,    Z,    H,	slope,Q, AREA,	L, curve,power, downL
-480,    0,   81.0046,   81.0046,   0.134708,   17309.9,   256,   8,   3.50946e-06,   2331.79,   0
-480,    8,   81.5073,   81.5073,   0.134708,   4271.48,   64,   8,   3.50946e-06,   575.404,   0
-480,    16,   81.8582,   81.8582,   0.155186,   4202.42,   64,   8,   1.98603e-05,   652.156,   0
-480,    24,   82.2774,   82.2774,   0.171125,   4135.86,   64,   8,   2.88773e-05,   707.751,   0
-480,    32,   82.6985,   82.6985,   0.184128,   4071.94,   64,   8,   -1.67271e-05,   749.757,   0
-480,    40,   83.0664,   83.0664,   0.192854,   4010.84,   64,   8,   -0.000169125,   773.506,   0
-480,    48,   83.3226,   83.3226,   0.196791,   3952.8,   64,   8,   -0.000515412,   777.877,   0
-480,    56,   83.4715,   83.4715,   0.19642,   3898.2,   64,   8,   -0.000932419,   765.687,   0
-480,    64,   83.5088,   83.5088,   0.192865,   3847.52,   64,   8,   -0.00139346,   742.053,   0
-480,    72,   83.4787,   83.4787,   0.188078,   3801.24,   64,   8,   -0.0017429,   714.929,   0
-480,    80,   83.4314,   83.4314,   0.183812,   3759.59,   64,   8,   -0.00183606,   691.055,   0
-480,    88,   83.3666,   83.3666,   0.180296,   3722.14,   64,   8,   -0.00173493,   671.088,   0
-480,    96,   83.2819,   83.2819,   0.176969,   3687.62,   64,   8,   -0.00151956,   652.595,   0
-480,    104,   83.1805,   83.1805,   0.173464,   3654.12,   64,   8,   -0.0012669,   633.858,   0
-480,    112,   83.0726,   83.0726,   0.169792,   3620.03,   64,   8,   -0.00102837,   614.653,   0
-480,    120,   82.9739,   82.9739,   0.166306,   3584.5,   64,   8,   -0.000813416,   596.124,   0
-480,    128,   82.8989,   82.8989,   0.163421,   3547.43,   64,   8,   -0.000610552,   579.723,   0
-480,    136,   82.8546,   82.8546,   0.161295,   3509.02,   64,   8,   -0.000417103,   565.987,   0
-480,    144,   82.8403,   82.8403,   0.159759,   3469.41,   64,   8,   -0.000252951,   554.27,   0
-480,    152,   82.8523,   82.8523,   0.158541,   3428.45,   64,   8,   -0.000149244,   543.548,   0
-480,    160,   82.8898,   82.8898,   0.157566,   3385.72,   64,   8,   -0.000125142,   533.475,   0
-480,    168,   82.9571,   82.9571,   0.157068,   3340.74,   64,   8,   -0.000175439,   524.724,   0
-480,    176,   83.0592,   83.0592,   0.157397,   3293.4,   64,   8,   -0.00027352,   518.372,   0
-480,    184,   83.1959,   83.1959,   0.158697,   3244.54,   64,   8,   -0.000380113,   514.898,   0
-480,    192,   83.3565,   83.3565,   0.160687,   3196.25,   64,   8,   -0.00044662,   513.596,   0
-480,    200,   83.5205,   83.5205,   0.162167,   3151.29,   64,   8,   -0.000423632,   511.037,   0
-480,    208,   83.6324,   83.6324,   0.161098,   3111.83,   64,   8,   -0.000405965,   501.311,   0
-480,    216,   83.6558,   83.6558,   0.157038,   3078.56,   64,   8,   -0.000504273,   483.45,   0
-480,    224,   83.6605,   83.6605,   0.151692,   3050.93,   64,   8,   -0.000509083,   462.802,   0
-480,    232,   83.6675,   83.6675,   0.146446,   3027.94,   64,   8,   -0.00044462,   443.431,   0
-480,    240,   83.6912,   83.6912,   0.141669,   3008.68,   64,   8,   -0.00034446,   426.237,   0
-480,    248,   83.7421,   83.7421,   0.137599,   2992.59,   64,   8,   -0.000242253,   411.777,   0
-480,    256,   83.8322,   83.8322,   0.134546,   2979.4,   64,   8,   -0.000154707,   400.866,   0
-480,    264,   83.9721,   83.9721,   0.132826,   2968.93,   64,   8,   -8.96481e-05,   394.349,   0
-480,    272,   84.1681,   84.1681,   0.132532,   2960.9,   64,   8,   -4.69624e-05,   392.415,   0
-480,    280,   84.4185,   84.4185,   0.133429,   2954.78,   64,   8,   -2.52027e-05,   394.254,   0
-480,    288,   84.7163,   84.7163,   0.135038,   2949.9,   64,   8,   -1.71706e-05,   398.349,   0
-480,    296,   85.0509,   85.0509,   0.136819,   2945.89,   64,   8,   -1.36684e-05,   403.054,   0
-480,    304,   85.4116,   85.4116,   0.138388,   2942.84,   64,   8,   -9.57411e-06,   407.253,   0
-480,    312,   85.7935,   85.7935,   0.139737,   2941.28,   64,   8,   -3.87485e-06,   411.005,   0
-480,    320,   86.2008,   86.2008,   0.141284,   2941.79,   64,   8,   3.35873e-06,   415.628,   0
-480,    328,   86.6455,   86.6455,   0.14357,   2944.54,   64,   8,   4.13846e-06,   422.747,   0
-480,    336,   87.137,   87.137,   0.146735,   2949.37,   64,   8,   3.90435e-06,   432.777,   0
-480,    344,   87.6717,   87.6717,   0.150302,   2955.6,   64,   8,   3.13614e-07,   444.233,   0
-480,    352,   88.2336,   88.2336,   0.153499,   2961.9,   64,   8,   1.49411e-07,   454.649,   0
-480,    360,   88.8049,   88.8049,   0.155806,   2966.56,   64,   8,   -2.71532e-08,   462.206,   0
-480,    368,   89.3776,   89.3776,   0.157323,   2968.31,   64,   8,   -4.30359e-07,   466.983,   0
-480,    376,   89.9587,   89.9587,   0.158764,   2967.74,   64,   8,   -8.92871e-07,   471.171,   0
-480,    384,   90.567,   90.567,   0.16106,   2967.96,   64,   8,   -1.3758e-06,   478.021,   0
-480,    392,   91.2213,   91.2213,   0.164815,   2973.29,   64,   8,   -1.53411e-06,   490.042,   0
-480,    400,   91.9304,   91.9304,   0.169988,   2987.64,   64,   8,   -3.52522e-07,   507.862,   0
-480,    408,   92.6897,   92.6897,   0.176026,   3011.98,   64,   8,   2.79779e-06,   530.187,   0
-480,    416,   93.4846,   93.4846,   0.182232,   3044.34,   64,   8,   6.5674e-06,   554.777,   0
-480,    424,   94.2969,   94.2969,   0.187998,   3081.19,   64,   8,   9.62579e-06,   579.259,   0
-480,    432,   95.1074,   95.1074,   0.192798,   3118.28,   64,   8,   1.10795e-05,   601.2,   0
-480,    440,   95.8951,   95.8951,   0.196129,   3151.33,   64,   8,   1.15296e-05,   618.068,   0
-480,    448,   96.6388,   96.6388,   0.197609,   3176.87,   64,   8,   1.07975e-05,   627.778,   0
-480,    456,   97.324,   97.324,   0.197227,   3193.73,   64,   8,   7.20283e-06,   629.889,   0
-480,    464,   97.9514,   97.9514,   0.195524,   3205.4,   64,   8,   2.14283e-06,   626.734,   0
-480,    472,   98.5388,   98.5388,   0.193492,   3221.2,   64,   8,   -7.78163e-06,   623.277,   0
-480,    480,   99.1127,   99.1127,   0.192158,   3253.81,   64,   8,   -1.07684e-05,   625.246,   0
-480,    488,   99.6943,   99.6943,   0.192043,   3313.07,   64,   8,   -1.01535e-05,   636.25,   0
-480,    496,   100.289,   100.289,   0.192871,   3400.68,   64,   8,   -1.86075e-06,   655.895,   0
-480,    504,   100.888,   100.888,   0.193853,   3512.89,   64,   8,   2.84058e-06,   680.983,   0
-480,    512,   101.473,   101.473,   0.194278,   3646.18,   64,   8,   7.93244e-06,   708.372,   0
-480,    520,   102.036,   102.036,   0.193944,   3801.8,   64,   8,   1.32165e-05,   737.335,   0
-480,    528,   102.579,   102.579,   0.193208,   3987.76,   64,   8,   1.66105e-05,   770.467,   0
-480,    536,   103.116,   103.116,   0.192713,   4219.59,   64,   8,   2.06886e-05,   813.173,   0
-480,    544,   103.664,   103.664,   0.19295,   4519.02,   64,   8,   2.59758e-05,   871.945,   0
-480,    552,   104.228,   104.228,   0.193976,   4907.25,   64,   8,   3.25749e-05,   951.888,   0
-480,    560,   104.807,   104.807,   0.195521,   5390.15,   64,   8,   4.04692e-05,   1053.89,   0
-480,    568,   105.394,   105.394,   0.197315,   5940.07,   64,   8,   4.90326e-05,   1172.06,   0
-480,    576,   105.986,   105.986,   0.198043,   6492.56,   64,   8,   6.4021e-05,   1285.81,   0
-480,    584,   106.523,   106.523,   0.197066,   6972.52,   64,   8,   -0.000158425,   1374.05,   0
-480,    592,   107.05,   107.05,   0.192735,   7330.96,   64,   8,   -0.000449947,   1412.93,   0
-480,    600,   107.444,   107.444,   0.18934,   7558.83,   64,   8,   -0.00134915,   1431.19,   0
-480,    608,   108.054,   108.054,   0.184992,   7672.63,   64,   8,   -0.00138966,   1419.38,   0
-480,    616,   108.36,   108.36,   0.180416,   7693.13,   64,   8,   -0.00260111,   1387.96,   0
-480,    624,   108.971,   108.971,   0.18079,   7632.03,   64,   8,   -0.00250863,   1379.8,   0
-480,    632,   109.483,   109.483,   0.17941,   7486.99,   64,   8,   -0.00268694,   1343.24,   0
-480,    640,   109.912,   109.912,   0.179075,   7242.2,   64,   8,   -0.00303915,   1296.89,   0
-480,    648,   110.488,   110.488,   0.182094,   6875.24,   64,   8,   -0.00266869,   1251.94,   0
-480,    656,   110.983,   110.983,   0.192585,   6373.35,   64,   8,   -0.002458,   1227.41,   0
-480,    664,   111.808,   111.808,   0.188312,   5755.68,   64,   8,   -0.000348725,   1083.86,   0
-480,    672,   111.286,   111.286,   0.17317,   5082.68,   64,   8,   -0.00321474,   880.169,   0
-480,    680,   111.833,   111.833,   0.179035,   4433.65,   64,   8,   0.0064754,   793.779,   0
