-480   0   99.656
-472   0   99.9254
-464   0   99.8484
-456   0   99.5111
-448   0   99.3932
-440   0   98.7994
-432   0   98.1804
-424   0   97.2614
-416   0   96.2591
-408   0   94.5145
-400   0   92.255
-392   0   90.1212
-384   0   87.979
-376   0   85.4872
-368   0   82.9916
-360   0   80.8158
-352   0   78.9397
-344   0   76.4835
-336   0   73.6504
-328   0   71.9106
-320   0   69.564
-312   0   68.5034
-304   0   66.6423
-296   0   64.769
-288   0   62.8456
-280   0   60.6613
-272   0   58.4215
-264   0   56.6369
-256   0   54.8051
-248   0   52.6085
-240   0   50.6399
-232   0   48.8232
-224   0   47.0297
-216   0   45.3927
-208   0   43.9715
-200   0   41.7922
-192   0   39.9733
-184   0   38.0191
-176   0   36.1177
-168   0   34.4376
-160   0   32.583
-152   0   30.7294
-144   0   30.5465
-136   0   32.1041
-128   0   34.5415
-120   0   36.5988
-112   0   33.6087
-104   0   28.641
-96   0   23.1754
-88   0   18.0693
-80   0   13.9148
-72   0   11.6941
-64   0   9.44091
-56   0   7.25179
-48   0   4.6551
-40   0   2.10323
-32   0   0.241168
-24   0   -0.743633
-16   0   -0.77818
-8   0   -0.246217
0   0   0
8   0   2.13257
16   0   4.46479
24   0   6.34411
32   0   7.76752
40   0   9.10398
48   0   10.3601
56   0   11.7348
64   0   19.3391
72   0   36.7442
80   0   52.8524
88   0   59.0073
96   0   59.0826
104   0   58.1437
112   0   50.0366
120   0   39.3763
128   0   29.8228
136   0   28.4647
144   0   29.6029
152   0   31.6953
160   0   33.3635
168   0   34.8958
176   0   36.5735
184   0   38.186
192   0   39.8319
200   0   40.812
208   0   42.6689
216   0   45.3631
224   0   48.3187
232   0   51.3448
240   0   56.4009
248   0   61.9603
256   0   66.8799
264   0   69.4721
272   0   71.5867
280   0   75.2524
288   0   80.3907
296   0   85.9148
304   0   89.8372
312   0   91.1581
320   0   92.8042
328   0   95.2158
336   0   97.2743
344   0   99.5975
352   0   102.125
360   0   103.34
368   0   106.707
376   0   107.605
384   0   110.016
392   0   111.983
400   0   114.276
408   0   116.248
416   0   118.106
424   0   121.599
432   0   125.112
440   0   128.629
448   0   131.11
456   0   133.088
464   0   134.858
472   0   136.99
480   0   137.12
-480   8   99.3866
-472   8   99.4975
-464   8   99.3824
-456   8   99.2782
-448   8   98.664
-440   8   98.1602
-432   8   97.4063
-424   8   96.52
-416   8   95.5838
-408   8   93.9354
-400   8   91.796
-392   8   89.796
-384   8   87.7894
-376   8   85.4264
-368   8   82.9916
-360   8   80.9911
-352   8   78.9397
-344   8   76.7865
-336   8   74.3999
-328   8   72.1299
-320   8   70.3027
-312   8   68.5034
-304   8   66.6423
-296   8   64.7077
-288   8   62.7382
-280   8   60.5334
-272   8   58.2937
-264   8   56.5204
-256   8   54.6994
-248   8   52.5003
-240   8   50.5048
-232   8   48.6282
-224   8   46.7387
-216   8   44.9758
-208   8   43.414
-200   8   41.7922
-192   8   39.9733
-184   8   38.0191
-176   8   36.1177
-168   8   34.4376
-160   8   32.583
-152   8   30.7294
-144   8   30.5465
-136   8   32.1041
-128   8   34.5415
-120   8   36.5988
-112   8   33.6087
-104   8   28.641
-96   8   23.1754
-88   8   18.0693
-80   8   13.9148
-72   8   11.6941
-64   8   9.44091
-56   8   7.25179
-48   8   4.6551
-40   8   2.10323
-32   8   0.241168
-24   8   -0.743633
-16   8   -0.77818
-8   8   -0.246217
0   8   0.440138
8   8   2.13257
16   8   4.46479
24   8   6.34411
32   8   7.76752
40   8   9.10398
48   8   10.3601
56   8   11.7348
64   8   19.3391
72   8   36.7442
80   8   52.8524
88   8   59.0073
96   8   59.0826
104   8   58.1437
112   8   50.0366
120   8   39.3763
128   8   29.8228
136   8   28.4647
144   8   29.6029
152   8   31.6953
160   8   33.3635
168   8   34.8958
176   8   36.5735
184   8   38.186
192   8   39.8319
200   8   41.3956
208   8   42.909
216   8   44.8264
224   8   47.5371
232   8   50.5433
240   8   55.469
248   8   60.7548
256   8   65.2269
264   8   67.1833
272   8   68.5002
280   8   71.2955
288   8   75.6388
296   8   80.6103
304   8   84.838
312   8   87.9552
320   8   91.1253
328   8   94.0961
336   8   96.8914
344   8   99.1851
352   8   101.48
360   8   103.828
368   8   106.156
376   8   108.323
384   8   110.31
392   8   112.469
400   8   114.244
408   8   116.245
416   8   118.43
424   8   121.579
432   8   125.044
440   8   128.469
448   8   130.802
456   8   132.568
464   8   134.069
472   8   135.952
480   8   137.249
-480   16   99.6664
-472   16   99.1874
-464   16   99.1118
-456   16   98.8356
-448   16   98.307
-440   16   97.3329
-432   16   96.0608
-424   16   94.6983
-416   16   93.3333
-408   16   91.5876
-400   16   89.8434
-392   16   88.1494
-384   16   86.474
-376   16   84.5911
-368   16   82.5619
-360   16   80.7167
-352   16   79.0558
-344   16   77.0922
-336   16   74.8837
-328   16   72.5763
-320   16   70.812
-312   16   68.8564
-304   16   66.6059
-296   16   64.5298
-288   16   62.1671
-280   16   59.8872
-272   16   57.8721
-264   16   55.7083
-256   16   53.5678
-248   16   51.3017
-240   16   49.1409
-232   16   47.3371
-224   16   45.6969
-216   16   44.2494
-208   16   42.6472
-200   16   40.8882
-192   16   39.0628
-184   16   37.2222
-176   16   35.109
-168   16   33.2521
-160   16   31.0977
-152   16   29.529
-144   16   28.5166
-136   16   28.2821
-128   16   27.4623
-120   16   26.1913
-112   16   24.7518
-104   16   22.2436
-96   16   19.227
-88   16   16.1199
-80   16   13.4275
-72   16   11.1664
-64   16   9.06057
-56   16   7.10508
-48   16   4.75313
-40   16   2.49132
-32   16   1.07929
-24   16   0.683785
-16   16   0.578782
-8   16   0.687887
0   16   1.19001
8   16   2.35956
16   16   4.25635
24   16   6.23697
32   16   7.77884
40   16   9.40231
48   16   10.991
56   16   13.029
64   16   16.8658
72   16   26.8434
80   16   37.5029
88   16   41.9976
96   16   44.2115
104   16   44.4114
112   16   38.8656
120   16   31.4798
128   16   28.0911
